Temp,,,,,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.87,37,255,58.63,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.87,37,255,58.63,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.97,37,255,58.7,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.9,37,255,58.65,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.94,37,255,58.68,67.23,,
25.97,37,255,58.7,67.23,,
